"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,24.3708904419141,32.0710977311582,32.0710977311582,24.3795533233368,32.0767402857456,32.0767402857456
"Early.ER-",22.4215246636771,22.3956476028688,22.3956476028688,28.8976097384741,22.420822887041,22.420822887041,28.9300940308196
"Advanced.ER+",4.76190476190476,5.16598153164603,6.79610000150077,6.79610000150077,5.16121773230488,6.78896391533995,6.78896391533995
"Advanced.ER-",4.76190476190476,4.76587621098878,4.76587621098878,6.14951733010912,4.76625729305744,4.76625729305744,6.15000905184615
