"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,24.3047338612305,31.9730869787856,31.9730869787856,24.293844187995,31.9588494593519,31.9588494593519
"Early.ER-",22.4215246636771,22.3691623189144,22.3691623189144,28.8634351750519,22.4158804286929,22.4158804286929,28.9237166651241
"Advanced.ER+",4.76190476190476,5.16108435211611,6.79146439486535,6.79146439486535,5.16355041236046,6.79389419253436,6.79389419253436
"Advanced.ER-",4.76190476190476,4.76282091139694,4.76282091139694,6.14557500346861,4.76122387632685,4.76122387632685,6.14351431892165
