"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,24.29340437039,31.9635098484033,31.9635098484033,24.3267111161778,32.0072316932464,32.0072316932464
"Early.ER-",22.4215246636771,22.4283744898314,22.4283744898314,28.9398379830288,22.4147380201788,22.4147380201788,28.9222426025121
"Advanced.ER+",4.76190476190476,5.16602610383966,6.79862478350277,6.79862478350277,5.16392650622556,6.79592202495014,6.79592202495014
"Advanced.ER-",4.76190476190476,4.75866132764619,4.75866132764619,6.14020780284423,4.75732713115691,4.75732713115691,6.13848626338863
