"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Control_withERchemoERpos","Screen_withoutER","Screen_withER","Screen_withERchemo","Screen_withERchemoERpos"
"Early.ER+",22.4215246636771,24.2939153847244,31.9656042299055,31.9656042299055,31.9656042299055,24.3135879873916,31.9970296926815,31.9970296926815,31.9970296926815
"Early.ER-",22.4215246636771,22.4321031051207,22.4321031051207,28.9446491117005,28.9446491117005,22.410919621834,22.410919621834,28.9173156365134,28.9173156365134
"Advanced.ER+",4.76190476190476,5.16488595169598,6.79652271835139,6.79652271835139,8.76970683767806,5.16339421411362,6.79503438740103,6.79503438740103,8.76778640805736
"Advanced.ER-",4.76190476190476,4.75943994667845,4.75943994667845,6.14121247952365,6.14121247952365,4.7610626822681,4.7610626822681,6.14330633499918,6.14330633499918
