"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,24.3047338612305,31.9730869787856,31.9730869787856,24.301339387748,31.9788271698812,31.9788271698812
"Early.ER-",22.4215246636771,22.3691623189144,22.3691623189144,28.8634351750519,22.4059312181987,22.4059312181987,28.910878985396
"Advanced.ER+",4.76190476190476,5.16108435211611,6.79146439486535,6.79146439486535,5.16045872691277,6.79061239756083,6.79061239756083
"Advanced.ER-",4.76190476190476,4.76282091139694,4.76282091139694,6.14557500346861,4.76551708876077,4.76551708876077,6.14905393696422
