"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,23.9303920103873,31.5506191846171,31.5506191846171,24.0184998651232,31.6374011682793,31.6374011682793
"Early.ER-",22.4215246636771,22.4400041436323,22.4400041436323,28.9548440256346,22.4478861314555,22.4478861314555,28.9650143694165
"Advanced.ER+",4.76190476190476,5.10348999894256,6.71906111713205,6.71906111713205,5.09256044227868,6.71094809612151,6.71094809612151
"Advanced.ER-",4.76190476190476,4.76402886388657,4.76402886388657,6.14713359271866,4.75828708105392,4.75828708105392,6.13972478368476
