"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,24.5340153413167,32.2422633401087,32.2422633401087,24.5340153413167,32.2422633401087,32.2422633401087
"Early.ER-",22.4215246636771,22.3523681729742,22.3523681729742,28.8417653584838,22.3523681729742,22.3523681729742,28.8417653584838
"Advanced.ER+",4.76190476190476,5.16145936054928,6.80809428650902,6.80809428650902,5.16145936054928,6.80809428650902,6.80809428650902
"Advanced.ER-",4.76190476190476,4.75193134800702,4.75193134800702,6.13152394336224,4.75193134800702,4.75193134800702,6.13152394336224
