"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,24.3631360736323,32.0441436809617,32.0441436809617,24.3631360736323,32.0441436809617,32.0441436809617
"Early.ER-",22.4215246636771,22.4501557712038,22.4501557712038,28.9679428540337,22.4501557712038,22.4501557712038,28.9679428540337
"Advanced.ER+",4.76190476190476,5.16923135112532,6.80173130351458,6.80173130351458,5.16923135112532,6.80173130351458,6.80173130351458
"Advanced.ER-",4.76190476190476,4.76435670884553,4.76435670884553,6.14755668579222,4.76435670884553,4.76435670884553,6.14755668579222
