"Trial","Age.Group","Control","Screen","Incidence","Prevalence"
"Y1977",50,18.1741109838884,16.2934615308602,NA,NA
"Y1977",55,42.8127078216817,38.6279585262873,NA,NA
"Y1977",60,68.7903664265962,63.6366760501094,NA,NA
"Y1977",65,89.653595248347,80.896313754909,NA,NA
"Y1977",70,81.2775391184478,74.5759780655295,NA,NA
"Y1977",75,70.8255785259737,66.2866512523716,NA,NA
"Y1977",80,46.5689519658637,45.9677476408244,NA,NA
"Y1977",85,38.563512178489,34.1828478542525,NA,NA
"Y1977",90,32.0850339975171,32.0482136465731,NA,NA
"Y1977",95,20.6975759718147,23.3805728324528,NA,NA
"Y1977",100,20.7198305759774,22.3391663367285,NA,NA
"Y1977",105,11.4738016653327,13.108202910643,NA,NA
"Y1977",110,16.3895281688965,17.4623370129473,NA,NA
"Y1977",115,8.7354564209918,10.9090956571965,NA,NA
"Y1977",120,NA,NA,NA,NA
"Y1977",125,NA,NA,NA,NA
"Y1999",50,14.8307458758239,13.2637994173052,NA,NA
"Y1999",55,36.3028662150972,32.8177498838519,NA,NA
"Y1999",60,55.6646039231692,50.6597790562077,NA,NA
"Y1999",65,79.3353121580034,72.7759961416236,NA,NA
"Y1999",70,81.5958207132965,75.1456142628109,NA,NA
"Y1999",75,59.5784438081945,55.8128401048789,NA,NA
"Y1999",80,56.7586198930749,53.9794295216751,NA,NA
"Y1999",85,44.4476980126586,39.5266256464631,NA,NA
"Y1999",90,28.7754075721063,27.6702848506952,NA,NA
"Y1999",95,20.653494995076,21.1653667014455,NA,NA
"Y1999",100,19.5942282790188,20.1092317959875,NA,NA
"Y1999",105,16.3541701438019,16.3370326329955,NA,NA
"Y1999",110,17.4596466100533,19.6149724807707,NA,NA
"Y1999",115,15.2814770689197,15.8105864591655,NA,NA
"Y1999",120,NA,NA,NA,NA
"Y1999",125,NA,NA,NA,NA
"Y2015",50,13.6814101035789,12.4279180093537,NA,NA
"Y2015",55,33.5143298801866,30.2625515155132,NA,NA
"Y2015",60,49.3121110320505,43.6383700663347,NA,NA
"Y2015",65,69.9288508433862,65.0496990467395,NA,NA
"Y2015",70,73.9976880344888,67.7928963338895,NA,NA
"Y2015",75,54.6958127174602,51.6826655058384,NA,NA
"Y2015",80,52.8954647057438,51.2206818128802,NA,NA
"Y2015",85,40.6073041357962,34.0608271858714,NA,NA
"Y2015",90,33.5874735327362,30.8394966600556,NA,NA
"Y2015",95,20.6321906219358,19.5204484683453,NA,NA
"Y2015",100,16.3145567164019,19.0098174731746,NA,NA
"Y2015",105,20.6845020818641,20.6406047753458,NA,NA
"Y2015",110,17.419658356198,20.6620241814921,NA,NA
"Y2015",115,10.9003742316415,11.4330503484473,NA,NA
"Y2015",120,NA,NA,NA,NA
"Y2015",125,NA,NA,NA,NA
"Historical",50,NA,NA,102.568206258909,0.491
"Historical",55,NA,NA,114.751564490375,0.957066474640414
"Historical",60,NA,NA,136.76942068825,1.41493626580943
"Historical",65,NA,NA,136.825014112708,1.72867475414401
"Historical",70,NA,NA,70.5490915652174,1.6556084244266
"Historical",75,NA,NA,32.9836367379032,1.39493816901455
"Historical",80,NA,NA,27.0946620327116,1.23383091458052
"Historical",85,NA,NA,10.322452457476,1.05513497079749
"Historical",90,NA,NA,0,0.864194872269406
"Historical",95,NA,NA,0,0.70503281212406
"Historical",100,NA,NA,0,0.602222997371863
"Historical",105,NA,NA,0,0.499199369792579
"Historical",110,NA,NA,0,0.442104548443352
"Historical",115,NA,NA,0,0.360492854777043
"Historical",120,NA,NA,NA,NA
"Historical",125,NA,NA,NA,NA
