"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,24.2866690388166,31.9574814285851,31.9574814285851,24.2866690388166,31.9574814285851,31.9574814285851
"Early.ER-",22.4215246636771,22.3879640870776,22.3879640870776,28.8876955136053,22.3879640870776,22.3879640870776,28.8876955136053
"Advanced.ER+",4.76190476190476,5.16942542911537,6.80280507026326,6.80280507026326,5.16942542911537,6.80280507026326,6.80280507026326
"Advanced.ER-",4.76190476190476,4.76181454803675,4.76181454803675,6.14427647093048,4.76181454803675,4.76181454803675,6.14427647093048
