"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Screen_withoutER","Screen_withER","Screen_withERchemo"
"Early.ER+",22.4215246636771,24.29340437039,31.9635098484033,31.9635098484033,24.3154715598601,31.9869128855563,31.9869128855563
"Early.ER-",22.4215246636771,22.4283744898314,22.4283744898314,28.9398379830288,22.4109709860073,22.4109709860073,28.9173819022158
"Advanced.ER+",4.76190476190476,5.16602610383966,6.79862478350277,6.79862478350277,5.16656374190778,6.79955165350313,6.79955165350313
"Advanced.ER-",4.76190476190476,4.75866132764619,4.75866132764619,6.14020780284423,4.75916723941423,4.75916723941423,6.14086059404277
