"Subgroup","Expected Mean","Control_withoutER","Control_withER","Screen_withoutER","Screen_withER"
"Early.ER+",22.4215246636771,24.2403122883755,31.9365253026117,24.29766463266,31.9930278894923
"Early.ER-",22.4215246636771,22.3275700431783,22.3275700431783,22.3475101169772,22.3475101169772
"Advanced.ER+",4.76190476190476,5.16802262005249,6.79585765694209,5.16780971225888,6.79332559471788
"Advanced.ER-",4.76190476190476,4.75383517160317,4.75383517160317,4.7559584490643,4.7559584490643
