"Subgroup","Expected Mean","Control_withoutER","Control_withER","Control_withERchemo","Control_withERchemoERpos","Screen_withoutER","Screen_withER","Screen_withERchemo","Screen_withERchemoERpos"
"Early.ER+",22.4215246636771,24.2699631332724,31.9090966699711,31.9090966699711,31.9090966699711,24.2913828790657,31.9356231517982,31.9356231517982,31.9356231517982
"Early.ER-",22.4215246636771,22.5135475523576,22.5135475523576,29.049738536338,29.049738536338,22.4690693403575,22.4690693403575,28.992347444616,28.992347444616
"Advanced.ER+",4.76190476190476,5.1880989424708,6.82495054525099,6.82495054525099,8.80638789877967,5.19824734677358,6.84125864161631,6.84125864161631,8.82743058814506
"Advanced.ER-",4.76190476190476,4.78398206941258,4.78398206941258,6.17287972596744,6.17287972596744,4.79137520076507,4.79137520076507,6.18241925660951,6.18241925660951
