"","Year","Male","Age","Survival"
"1",2013,0,0,0.948659825856424
"2",2013,0,1,0.942996224564363
"3",2013,0,2,0.938473180827014
"4",2013,0,3,0.935074568936761
"5",2013,0,4,0.932788305919678
"6",2013,0,5,0.931606279910636
"7",2013,0,6,0.930489208960866
"8",2013,0,7,0.929436862901702
"9",2013,0,8,0.928449025068157
"10",2013,0,9,0.927525492224576
"11",2013,0,10,0.926666074494945
"12",2013,0,11,0.925716543248256
"13",2013,0,12,0.924677177204787
"14",2013,0,13,0.92354828123516
"15",2013,0,14,0.922330186211306
"16",2013,0,15,0.921023248844842
"17",2013,0,16,0.919343178799761
"18",2013,0,17,0.917292025456409
"19",2013,0,18,0.914872287455221
"20",2013,0,19,0.912086907624519
"21",2013,0,20,0.9089392670164
"22",2013,0,21,0.905341552866322
"23",2013,0,22,0.901299200925596
"24",2013,0,23,0.896818301385391
"25",2013,0,24,0.891905583587945
"26",2013,0,25,0.886568399187854
"27",2013,0,26,0.881042864376221
"28",2013,0,27,0.8753329068601
"29",2013,0,28,0.869442567237668
"30",2013,0,29,0.863375994239912
"31",2013,0,30,0.857137439869055
"32",2013,0,31,0.850842707536029
"33",2013,0,32,0.844493702362583
"34",2013,0,33,0.8380923346696
"35",2013,0,34,0.831640519032465
"36",2013,0,35,0.825140173341024
"37",2013,0,36,0.818598456878106
"38",2013,0,37,0.812017164903635
"39",2013,0,38,0.805398091659138
"40",2013,0,39,0.798743029571116
"41",2013,0,40,0.792053768461901
"42",2013,0,41,0.78536036723275
"43",2013,0,42,0.778663881927704
"44",2013,0,43,0.771965360332248
"45",2013,0,44,0.76526584172407
"46",2013,0,45,0.758566356629211
"47",2013,0,46,0.751819958940111
"48",2013,0,47,0.745028951711457
"49",2013,0,48,0.738195636059621
"50",2013,0,49,0.731322309893835
"51",2013,0,50,0.724411266661168
"52",2013,0,51,0.717227496003589
"53",2013,0,52,0.709780437308349
"54",2013,0,53,0.702079804355133
"55",2013,0,54,0.694135564260552
"56",2013,0,55,0.685957916052701
"57",2013,0,56,0.67701164860951
"58",2013,0,57,0.667329467999765
"59",2013,0,58,0.656946430730911
