1,1,1,118,654073,Source
1,1,2,160,586824,IARC and GLOBOCAN 2012 http://ci5.iarc.fr/CI5I-X/Pages/download.aspx
1,1,3,128,541446,
1,1,4,110,522010,
1,1,5,120,584929,
1,1,6,218,514323,
1,1,7,275,363521,
1,1,8,311,244677,
1,1,9,205,153098,
1,1,10,196,93106,
1,1,11,191,61062,
1,1,12,123,36190,
1,1,13,170,28610,
1,1,14,169,17985,
1,1,15,162,12878,
1,1,16,143,22645,
1,1,17,89,0,
1,1,18,51,0,
1,1,19,44,0,
2,1,1,83,644226,
2,1,2,126,651595,
2,1,3,81,689570,
2,1,4,97,695869,
2,1,5,179,709349,
2,1,6,330,552567,
2,1,7,437,316827,
2,1,8,377,206531,
2,1,9,445,138417,
2,1,10,300,86288,
2,1,11,335,59555,
2,1,12,192,36154,
2,1,13,284,34045,
2,1,14,182,22628,
2,1,15,201,20004,
2,1,16,78,35687,
2,1,17,86,0,
2,1,18,38,0,
2,1,19,85,0,
1,2,1,118,654073,
1,2,2,157,586824,
1,2,3,127,541446,
1,2,4,107,522010,
1,2,5,118,584929,
1,2,6,208,514323,
1,2,7,269,363521,
1,2,8,308,244677,
1,2,9,202,153098,
1,2,10,193,93106,
1,2,11,186,61062,
1,2,12,120,36190,
1,2,13,164,28610,
1,2,14,167,17985,
1,2,15,160,12878,
1,2,16,141,22645,
1,2,17,89,0,
1,2,18,50,0,
1,2,19,41,0,
2,2,1,83,644226,
2,2,2,126,651595,
2,2,3,81,689570,
2,2,4,96,695869,
2,2,5,177,709349,
2,2,6,330,552567,
2,2,7,432,316827,
2,2,8,374,206531,
2,2,9,442,138417,
2,2,10,293,86288,
2,2,11,333,59555,
2,2,12,191,36154,
2,2,13,279,34045,
2,2,14,179,22628,
2,2,15,199,20004,
2,2,16,76,35687,
2,2,17,83,0,
2,2,18,37,0,
2,2,19,84,0,
1,3,1,0,654073,
1,3,2,1,586824,
1,3,3,3,541446,
1,3,4,5,522010,
1,3,5,7,584929,
1,3,6,5,514323,
1,3,7,11,363521,
1,3,8,8,244677,
1,3,9,4,153098,
1,3,10,11,93106,
1,3,11,10,61062,
1,3,12,9,36190,
1,3,13,15,28610,
1,3,14,5,17985,
1,3,15,3,12878,
1,3,16,3,22645,
1,3,17,3,0,
1,3,18,2,0,
1,3,19,5,0,
2,3,1,2,644226,
2,3,2,2,651595,
2,3,3,1,689570,
2,3,4,4,695869,
2,3,5,1,709349,
2,3,6,8,552567,
2,3,7,6,316827,
2,3,8,3,206531,
2,3,9,2,138417,
2,3,10,6,86288,
2,3,11,5,59555,
2,3,12,10,36154,
2,3,13,8,34045,
2,3,14,2,22628,
2,3,15,5,20004,
2,3,16,2,35687,
2,3,17,3,0,
2,3,18,1,0,
2,3,19,1,0,
1,4,1,0,654073,
1,4,2,1,586824,
1,4,3,0,541446,
1,4,4,0,522010,
1,4,5,0,584929,
1,4,6,0,514323,
1,4,7,0,363521,
1,4,8,0,244677,
1,4,9,1,153098,
1,4,10,0,93106,
1,4,11,0,61062,
1,4,12,0,36190,
1,4,13,0,28610,
1,4,14,0,17985,
1,4,15,0,12878,
1,4,16,0,22645,
1,4,17,0,0,
1,4,18,1,0,
1,4,19,0,0,
2,4,1,0,644226,
2,4,2,0,651595,
2,4,3,0,689570,
2,4,4,0,695869,
2,4,5,0,709349,
2,4,6,0,552567,
2,4,7,0,316827,
2,4,8,0,206531,
2,4,9,0,138417,
2,4,10,0,86288,
2,4,11,0,59555,
2,4,12,0,36154,
2,4,13,0,34045,
2,4,14,0,22628,
2,4,15,0,20004,
2,4,16,0,35687,
2,4,17,0,0,
2,4,18,0,0,
2,4,19,0,0,
1,5,1,0,654073,
1,5,2,0,586824,
1,5,3,0,541446,
1,5,4,0,522010,
1,5,5,0,584929,
1,5,6,1,514323,
1,5,7,0,363521,
1,5,8,1,244677,
1,5,9,0,153098,
1,5,10,2,93106,
1,5,11,1,61062,
1,5,12,3,36190,
1,5,13,1,28610,
1,5,14,0,17985,
1,5,15,0,12878,
1,5,16,0,22645,
1,5,17,0,0,
1,5,18,1,0,
1,5,19,0,0,
2,5,1,0,644226,
2,5,2,0,651595,
2,5,3,0,689570,
2,5,4,0,695869,
2,5,5,0,709349,
2,5,6,0,552567,
2,5,7,0,316827,
2,5,8,0,206531,
2,5,9,0,138417,
2,5,10,0,86288,
2,5,11,0,59555,
2,5,12,1,36154,
2,5,13,2,34045,
2,5,14,1,22628,
2,5,15,0,20004,
2,5,16,0,35687,
